50006,Corp'rethar Ceremonial Crown
50005,Amulet of the Silent Eulogy
50244,Dark Coven Shoulderpads
50469,Volde's Cloak of the Night Sky
50243,Dark Coven Robe
51007,Ether-Soaked Bracers
50240,Dark Coven Gloves
49978,Crushing Coldwraith Belt
50242,Dark Coven Leggings
47092,Boots of the Mourning Widow 
51557,Runed Signet of the Kirin Tor
50398,Ashen Band of Endless Destruction
47182,Reign of the Unliving
50259,Nevermelting Ice Crystal
50805,Mag'hari Chieftain's Staff
51326,Wand of Ruby Claret

50241,Dark Coven Hood
51554,Cowl of Malefic Repose

51020,Shoulders of Ruinous Senility

46976,Shawl of the Refreshing Winds

50974,Meteor Chaser's Raiment
50975,Ermine Coronation Robes

47585,Bejeweled Wizard's Bracers

50782,Sister's Handshrouds
51005,Gloves of Broken Fingers

47617,Icehowl Cinch
50996,Belt of Omission
50997,Circle of Ossus

50990,Kilt of Untreated Wounds
49891,Leggings of Woven Death
49892,Lightweave Leggings

50804,Icecrown Spire Sandals
49893,Sandals of Consecration
49890,Deathfrost Boots

50966,Abracadaver
51582,Sister Svalna's Aether Staff

#46979,Blade of Tarasque 

#50781,Scourgelord's Baton
#47138,Chalice of Searing Light 

47658,Brimstone Igniter

51381,Cerise Coiled Ring

50357,Maghia's Misguided Quill

#45308,Eye of the Broodmother
#47726,Talisman of Volatile Power
#45866,Elemental Focus Stone 

#50809,Soulcleave Pendant
